62,#62,,7 - 3,7,3,USA,,Arsal Puri,ARSAL PURI,,,PRA,salthedealer,salthedealer,https://twitter.com/salthedealer,,,Covert Cloak,,,Booster Energy,,,Sitrus Berry,,,Lum Berry,,,Choice Specs,,,Assault Vest,50,-,View,https://pokepast.es/9f079d8cb5fb9a21,,,,,,,Flutter Mane,Iron Bundle,Garchomp,Tyranitar,Amoonguss,Talonflame,,Choice Specs,Booster Energy,Assault Vest,Lum Berry,Sitrus Berry,Covert Cloak,,Fire,Water,Steel,Flying,Water,Ghost,Fire,Water,Steel,Flying,Water,Ghost,8 Flutter Mane,1 Iron Bundle,9 Garchomp,4 Tyranitar,2 Amoonguss,0 Talonflame,0 Talonflame,1 Iron Bundle,2 Amoonguss,4 Tyranitar,8 Flutter Mane,9 Garchomp,Talonflame,Ghost,Covert Cloak,Iron Bundle,Water,Booster Energy,Amoonguss,Water,Sitrus Berry,Tyranitar,Flying,Lum Berry,Flutter Mane,Fire,Choice Specs,Garchomp,Steel,Assault Vest,,,,,,,,,Talonflame,Iron Bundle,Amoonguss,Tyranitar,Flutter Mane,Garchomp,,"Flutter Mane, Iron Bundle, Garchomp, Tyranitar, Amoonguss, Talonflame",,Fletcher Robeison,226,Milan Patel,21,Andrew Zheng,55,Alex Eley,47,Ben Grissmer,20,ALEX UNDERHILL,1,Diego Gutierrez,2,Ian McLaughlin,8,Michael Arand,46,Kyle Morris,15
63,#63,,7 - 3,7,3,PRI,,Sergio Mojica,Sergio Mojica,,,SerG_VGC,SerG_VGC,SerG_VGC,https://twitter.com/SerG_VGC,,,Covert Cloak,,,Focus Sash,,,Wiki Berry,,,Leftovers,,,Psychic Seed,,,Sitrus Berry,50,-,View,https://pokepast.es/e9ccd69e355c237e,,,,,Info from Ink,,Maushold,Indeedee-F,Iron Bundle,Amoonguss,Armarouge,Annihilape,,Sitrus Berry,Psychic Seed,Focus Sash,Wiki Berry,Covert Cloak,Leftovers,,Ghost,Fairy,Ice,Dark,Grass,Fire,Ghost,Fairy,Ice,Dark,Grass,Fire,5 Maushold,5 Indeedee-F,1 Iron Bundle,2 Amoonguss,0 Armarouge,4 Annihilape,0 Armarouge,1 Iron Bundle,2 Amoonguss,4 Annihilape,5 Indeedee-F,5 Maushold,Armarouge,Grass,Covert Cloak,Iron Bundle,Ice,Focus Sash,Amoonguss,Dark,Wiki Berry,Annihilape,Fire,Leftovers,Indeedee-F,Fairy,Psychic Seed,Maushold,Ghost,Sitrus Berry,,,,,,,,,Armarouge,Iron Bundle,Amoonguss,Annihilape,Indeedee-F,Maushold,,"Maushold, Indeedee-F (Indeedee-Female), Iron Bundle, Amoonguss, Armarouge, Annihilape",,Ben Larson,257,Siddharth Singhal,33,Riley Wilcox,68,John Galvin,15,Michael Spinetta-McCarthy,5,Olivia Moledzki,37,Joshua Denk,17,Calvin Nisson,18,James Baek,50,Stefan Mott,89
64,#64,,7 - 3,7,3,USA,,Zach Carlson,Zach Carlson,,,Zachary,profshroomish,profshroomish,https://twitter.com/profshroomish,,,Covert Cloak,,,Leftovers,,,Choice Scarf,,,Sitrus Berry,,,Focus Sash,,,Choice Specs,50,-,View,https://pokepast.es/1c698d0d6ed43f25,,,,,,,Brute Bonnet,Pawmot,Tatsugiri,Gholdengo,Dondozo,Talonflame,,Sitrus Berry,Focus Sash,Choice Scarf,Choice Specs,Leftovers,Covert Cloak,,Fairy,Electric,Water,Steel,Dragon,Ghost,Fairy,Electric,Water,Steel,Dragon,Ghost,2 Brute Bonnet,3 Pawmot,1 Tatsugiri,7 Gholdengo,1 Dondozo,0 Talonflame,0 Talonflame,1 Dondozo,1 Tatsugiri,2 Brute Bonnet,3 Pawmot,7 Gholdengo,Talonflame,Ghost,Covert Cloak,Dondozo,Dragon,Leftovers,Tatsugiri,Water,Choice Scarf,Brute Bonnet,Fairy,Sitrus Berry,Pawmot,Electric,Focus Sash,Gholdengo,Steel,Choice Specs,,,,,,,,,Talonflame,Dondozo,Tatsugiri,Brute Bonnet,Pawmot,Gholdengo,,"Brute Bonnet, Pawmot, Tatsugiri, Gholdengo, Dondozo, Talonflame",,Richard Mogollon,195,Ryan Gordon,40,Patrick Donegan,65,Michael Spinetta-McCarthy,50,Trevor Winsler,96,Brendan Zheng,15,Paul Ruiz,89,Foster Hughes,46,Isabel Lee,63,Juan Manuel Santizo,59
65,#65,,7 - 3,7,3,USA,,Kevin Sidonio,Kevin Sidonio,,,xRazeOvation,xRazeOvation,xRazeOvation,https://twitter.com/xRazeOvation,,,Weakness Policy,,,Charcoal,,,Loaded Dice,,,Clear Amulet,,,Safety Goggles,,,Focus Sash,40,-,View,https://pokepast.es/bcf67a487864216e,,,,,,,Torkoal,Flutter Mane,Armarouge,Brute Bonnet,Indeedee-F,Great Tusk,,Charcoal,Focus Sash,Weakness Policy,Loaded Dice,Safety Goggles,Clear Amulet,,Fire,Fairy,Grass,Poison,Fairy,Fire,Fire,Fairy,Grass,Poison,Fairy,Fire,0 Torkoal,8 Flutter Mane,0 Armarouge,2 Brute Bonnet,5 Indeedee-F,4 Great Tusk,0 Armarouge,0 Torkoal,2 Brute Bonnet,4 Great Tusk,5 Indeedee-F,8 Flutter Mane,Armarouge,Grass,Weakness Policy,Torkoal,Fire,Charcoal,Brute Bonnet,Poison,Loaded Dice,Great Tusk,Fire,Clear Amulet,Indeedee-F,Fairy,Safety Goggles,Flutter Mane,Fairy,Focus Sash,,,,,,,,,Armarouge,Torkoal,Brute Bonnet,Great Tusk,Indeedee-F,Flutter Mane,,"Torkoal, Flutter Mane, Armarouge, Brute Bonnet, Indeedee-F (Indeedee-Female), Great Tusk",,Steven Oehler,246,Jacob Moores,128,Justin Carris,48,MacKenzie Fennell,4,Allan Martinez,24,Malcolm Nolasco,69,Carson Confer,33,Dylan Salvanera,36,Lorenzo Arce,41,Justin Stipe,18
66,#66,,7 - 3,7,3,USA,,Jakob Swilley,Jakob Swilley,,,Jakob,JakobSwilley,JakobSwilley,https://twitter.com/JakobSwilley,,,Covert Cloak,,,Leftovers,,,Booster Energy,,,Choice Specs,,,Assault Vest,,,Life Orb,40,-,View,https://pokepast.es/208ad9b4113874e1,,,,,,,Talonflame,Iron Bundle,Tatsugiri,Tyranitar,Dondozo,Flutter Mane,,Covert Cloak,Booster Energy,Choice Specs,Assault Vest,Leftovers,Life Orb,,Ghost,Water,Water,Grass,Steel,Fairy,Ghost,Water,Water,Grass,Steel,Fairy,0 Talonflame,1 Iron Bundle,1 Tatsugiri,4 Tyranitar,1 Dondozo,8 Flutter Mane,0 Talonflame,1 Dondozo,1 Iron Bundle,1 Tatsugiri,4 Tyranitar,8 Flutter Mane,Talonflame,Ghost,Covert Cloak,Dondozo,Steel,Leftovers,Iron Bundle,Water,Booster Energy,Tatsugiri,Water,Choice Specs,Tyranitar,Grass,Assault Vest,Flutter Mane,Fairy,Life Orb,,,,,,,,,Talonflame,Dondozo,Iron Bundle,Tatsugiri,Tyranitar,Flutter Mane,,"Talonflame, Iron Bundle, Tatsugiri, Tyranitar, Dondozo, Flutter Mane",,Nathan St. Pierre,66,Charlie Pollock,158,Enrique Grimaldo,37,Jeremy Parson,40,Kyle Livinghouse,15,Adrian Heredia,17,Lorenzo Arce,26,Andrew Burley,35,James Evans,28,Anthony Esposito,54
67,#67,,7 - 3,7,3,USA,,Luke Alkire,Luke Alkire,,,Luke,No Twitter,No Twitter,https://twitter.com/No Twitter,,,Life Orb,,,Booster Energy,,,Assault Vest,,,Psychic Seed,,,Mental Herb,,,Choice Specs,40,-,View,https://pokepast.es/459bca4fa6f316c9,,,,,,,Sandy Shocks,Tyranitar,Maushold,Indeedee-F,Flutter Mane,Talonflame,,Booster Energy,Assault Vest,Mental Herb,Psychic Seed,Choice Specs,Life Orb,,Grass,Psychic,Ghost,Grass,Fairy,Flying,Grass,Psychic,Ghost,Grass,Fairy,Flying,3 Sandy Shocks,4 Tyranitar,5 Maushold,5 Indeedee-F,8 Flutter Mane,0 Talonflame,0 Talonflame,3 Sandy Shocks,4 Tyranitar,5 Indeedee-F,5 Maushold,8 Flutter Mane,Talonflame,Flying,Life Orb,Sandy Shocks,Grass,Booster Energy,Tyranitar,Psychic,Assault Vest,Indeedee-F,Grass,Psychic Seed,Maushold,Ghost,Mental Herb,Flutter Mane,Fairy,Choice Specs,,,,,,,,,Talonflame,Sandy Shocks,Tyranitar,Indeedee-F,Maushold,Flutter Mane,,"Sandy Shocks, Tyranitar, Maushold, Indeedee-F (Indeedee-Female), Flutter Mane, Talonflame",,taylor oneal,341,Mario Jimenez,125,Alexa Koske,89,Zachary Liekweg,2,Jonathan Melendez,4,George Tifverman,50,Brett Hanewich,110,Angel Miranda,30,Russell Klein,55,Luke Bowar,11
68,#68,,7 - 3,7,3,USA,,Chad Temple,Chad Temple,,,Ace,No Twitter,No Twitter,https://twitter.com/No Twitter,,,Covert Cloak,,,Focus Sash,,,Sitrus Berry,,,Life Orb,,,Choice Specs,,,Booster Energy,40,-,View,https://pokepast.es/ba672ecaff7eec6f,,,,,,,Talonflame,Gholdengo,Roaring Moon,Iron Bundle,Amoonguss,Great Tusk,,Covert Cloak,Choice Specs,Booster Energy,Focus Sash,Sitrus Berry,Life Orb,,Ghost,Steel,Flying,Ghost,Dark,Ground,Ghost,Steel,Flying,Ghost,Dark,Ground,0 Talonflame,7 Gholdengo,9 Roaring Moon,1 Iron Bundle,2 Amoonguss,4 Great Tusk,0 Talonflame,1 Iron Bundle,2 Amoonguss,4 Great Tusk,7 Gholdengo,9 Roaring Moon,Talonflame,Ghost,Covert Cloak,Iron Bundle,Ghost,Focus Sash,Amoonguss,Dark,Sitrus Berry,Great Tusk,Ground,Life Orb,Gholdengo,Steel,Choice Specs,Roaring Moon,Flying,Booster Energy,,,,,,,,,Talonflame,Iron Bundle,Amoonguss,Great Tusk,Gholdengo,Roaring Moon,,"Talonflame, Gholdengo, Roaring Moon, Iron Bundle, Amoonguss, Great Tusk",,Jahmez Barnett,348,Ryu Turcios,139,George Tifverman,34,Aaron Clemons,48,Juan Aquino,37,Mia Gray,71,Landon Morjal,39,Arbin Tumaneng,22,Giovanni Costa,6,Carlos Wiley,13
69,#69,,7 - 3,7,3,USA,,Jered Hunn,Jered Hunn,,,Tena,No Twitter,No Twitter,https://twitter.com/No Twitter,,,Leftovers,,,Booster Energy,,,Focus Sash,,,Life Orb,,,Choice Specs,,,Assault Vest,40,-,View,https://pokepast.es/6101640833c6c373,,,,,,,Iron Bundle,Baxcalibur,Dondozo,Great Tusk,Tatsugiri,Flutter Mane,,Booster Energy,Assault Vest,Leftovers,Life Orb,Focus Sash,Choice Specs,,Grass,Grass,Poison,Ground,Dragon,Fire,Grass,Grass,Poison,Ground,Dragon,Fire,1 Iron Bundle,9 Baxcalibur,1 Dondozo,4 Great Tusk,1 Tatsugiri,8 Flutter Mane,1 Dondozo,1 Iron Bundle,1 Tatsugiri,4 Great Tusk,8 Flutter Mane,9 Baxcalibur,Dondozo,Poison,Leftovers,Iron Bundle,Grass,Booster Energy,Tatsugiri,Dragon,Focus Sash,Great Tusk,Ground,Life Orb,Flutter Mane,Fire,Choice Specs,Baxcalibur,Grass,Assault Vest,,,,,,,,,Dondozo,Iron Bundle,Tatsugiri,Great Tusk,Flutter Mane,Baxcalibur,,"Iron Bundle, Baxcalibur, Dondozo, Great Tusk, Tatsugiri, Flutter Mane",,Joey Tan,204,Calvin Nisson,56,Heriberto Pacaje,76,Foster Hughes,28,Walter Morales,30,Enrique Grimaldo,61,Jake Magier,23,Emily Golub,72,Logan Phillips,38,Thaison Hughes,64
70,#70,,7 - 3,7,3,USA,,Brandon Tuchtenhagen,Brandon Tuchtenhagen,,,Kotori,wKotori_,wKotori_,https://twitter.com/wKotori_,,,Iapapa Berry,,,Covert Cloak,,,Focus Sash,,,Assault Vest,,,Throat Spray,,,Booster Energy,40,-,View,https://pokepast.es/0c6d0cd0c73af3ca,,,,,American. Twitter is wKotori_,,Tyranitar,Arcanine,Sylveon,Lycanroc,Gastrodon,Roaring Moon,,Assault Vest,Iapapa Berry,Throat Spray,Focus Sash,Covert Cloak,Booster Energy,,Flying,Grass,Ground,Ghost,Fire,Flying,Flying,Grass,Ground,Ghost,Fire,Flying,4 Tyranitar,0 Arcanine,8 Sylveon,4 Lycanroc,1 Gastrodon,9 Roaring Moon,0 Arcanine,1 Gastrodon,4 Lycanroc,4 Tyranitar,8 Sylveon,9 Roaring Moon,Arcanine,Grass,Iapapa Berry,Gastrodon,Fire,Covert Cloak,Lycanroc,Ghost,Focus Sash,Tyranitar,Flying,Assault Vest,Sylveon,Ground,Throat Spray,Roaring Moon,Flying,Booster Energy,,,,,,,,,Arcanine,Gastrodon,Lycanroc,Tyranitar,Sylveon,Roaring Moon,,"Tyranitar, Arcanine, Sylveon, Lycanroc, Gastrodon, Roaring Moon",,Stephen Polin,189,Nolan Hutyra,53,Robert Moore,38,Paul Irizarry,20,Adrien Hurley,18,Jens Soto,22,Wolfe Glick,38,Ezequiel Cordero,84,Ian Roberts,23,Justin Carris,20
71,#71,,7 - 3,7,3,USA,,Tom Hull,Tom Hull,,,Kymeri,TheKymeri,TheKymeri,https://twitter.com/TheKymeri,,,Leftovers,,,Heat Rock,,,Covert Cloak,,,Life Orb,,,Assault Vest,,,Focus Sash,40,-,View,https://pokepast.es/dc4f3c10da61d4f3,,,,,Ax: USA. Twitter is TheKymeri,,Torkoal,Flutter Mane,Rotom-Heat,Iron Hands,Amoonguss,Great Tusk,,Heat Rock,Focus Sash,Leftovers,Assault Vest,Covert Cloak,Life Orb,,Grass,Fairy,Fire,Grass,Water,Ground,Grass,Fairy,Fire,Grass,Water,Ground,0 Torkoal,8 Flutter Mane,0 Rotom-Heat,4 Iron Hands,2 Amoonguss,4 Great Tusk,0 Rotom-Heat,0 Torkoal,2 Amoonguss,4 Great Tusk,4 Iron Hands,8 Flutter Mane,Rotom-Heat,Fire,Leftovers,Torkoal,Grass,Heat Rock,Amoonguss,Water,Covert Cloak,Great Tusk,Ground,Life Orb,Iron Hands,Grass,Assault Vest,Flutter Mane,Fairy,Focus Sash,,,,,,,,,Rotom-Heat,Torkoal,Amoonguss,Great Tusk,Iron Hands,Flutter Mane,,"Torkoal, Flutter Mane, Rotom-Heat, Iron Hands, Amoonguss, Great Tusk",,Bhushan Thumsi,380,Chris Springer,375,Walter Morales,188,Yohance Williams,296,Kenneth Tirado Hernández,226,Tristan Fearing,89,Jack Moore,73,Daniel A Fontes,45,Adrian Heredia,39,Darsh Patel,31
72,#72,,7 - 3,7,3,USA,,Danish Ali,Danish Ali,,,Scythee,_Danoo5,_Danoo5,https://twitter.com/_Danoo5,,,Booster Energy,,,Focus Sash,,,Covert Cloak,,,Sitrus Berry,,,Assault Vest,,,Life Orb,40,-,View,https://pokepast.es/3edaf5b4f5de6bff,,,,,,,Amoonguss,Tyranitar,Iron Bundle,Flutter Mane,Iron Hands,Iron Moth,,Covert Cloak,Assault Vest,Focus Sash,Life Orb,Sitrus Berry,Booster Energy,,Dark,Flying,Water,Ground,Grass,Grass,Dark,Flying,Water,Ground,Grass,Grass,2 Amoonguss,4 Tyranitar,1 Iron Bundle,8 Flutter Mane,4 Iron Hands,0 Iron Moth,0 Iron Moth,1 Iron Bundle,2 Amoonguss,4 Iron Hands,4 Tyranitar,8 Flutter Mane,Iron Moth,Grass,Booster Energy,Iron Bundle,Water,Focus Sash,Amoonguss,Dark,Covert Cloak,Iron Hands,Grass,Sitrus Berry,Tyranitar,Flying,Assault Vest,Flutter Mane,Ground,Life Orb,,,,,,,,,Iron Moth,Iron Bundle,Amoonguss,Iron Hands,Tyranitar,Flutter Mane,,"Amoonguss, Tyranitar, Iron Bundle, Flutter Mane, Iron Hands, Iron Moth",,Kareem Muakkit,256,Thomas DeRosa,111,Wolfe Glick,73,Charlie Pollock,56,Zachary Thompson,34,Janice Lee,34,Arbin Tumaneng,31,Jake Rosen,48,Jason Calderon,77,Alberto Lara,44
73,#73,,7 - 3,7,3,USA,,Austin Acosta,Austin Acosta,,,RollAcosta,RollAcostaVGC,RollAcostaVGC,https://twitter.com/RollAcostaVGC,,,Safety Goggles,,,Focus Sash,,,Sitrus Berry,,,Assault Vest,,,Covert Cloak,,,Booster Energy,40,-,View,https://pokepast.es/295eec7322981d44,,,,,,,Iron Hands,Iron Bundle,Roaring Moon,Amoonguss,Arcanine,Gholdengo,,Assault Vest,Focus Sash,Booster Energy,Sitrus Berry,Safety Goggles,Covert Cloak,,Grass,Ghost,Flying,Dark,Normal,Water,Grass,Ghost,Flying,Dark,Normal,Water,4 Iron Hands,1 Iron Bundle,9 Roaring Moon,2 Amoonguss,0 Arcanine,7 Gholdengo,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Iron Hands,7 Gholdengo,9 Roaring Moon,Arcanine,Normal,Safety Goggles,Iron Bundle,Ghost,Focus Sash,Amoonguss,Dark,Sitrus Berry,Iron Hands,Grass,Assault Vest,Gholdengo,Water,Covert Cloak,Roaring Moon,Flying,Booster Energy,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Iron Hands,Gholdengo,Roaring Moon,,"Iron Hands, Iron Bundle, Roaring Moon, Amoonguss, Arcanine, Gholdengo",,Kolten Pope,15,Lev Willey,68,Chris Wolfe,69,Kyle Rodemann,162,Don Czech,27,Nicholas Hughes,182,Benjamin March,105,Luis Canseco,83,Andrew Johnson,53,Sohaib Mufti,10
74,#74,,7 - 3,7,3,USA,,Andrew Jenkins,Andrew Jenkins,,,Jenkins,No Twitter,No Twitter,https://twitter.com/No Twitter,,,Booster Energy,,,Mirror Herb,,,Leftovers,,,Safety Goggles,,,Assault Vest,,,Life Orb,40,-,View,https://pokepast.es/1e063769287713ba,,,,,Ax: USA. No Twitter.,,Tauros-Paldea-Aqua,Farigiraf,Kingambit,Garganacl,Iron Moth,Flutter Mane,,Mirror Herb,Safety Goggles,Assault Vest,Leftovers,Booster Energy,Life Orb,,Grass,Fairy,Fire,Grass,Grass,Fairy,Grass,Fairy,Fire,Grass,Grass,Fairy,1 Tauros-Paldea-Aqua,6 Farigiraf,7 Kingambit,4 Garganacl,0 Iron Moth,8 Flutter Mane,0 Iron Moth,1 Tauros-Paldea-Aqua,4 Garganacl,6 Farigiraf,7 Kingambit,8 Flutter Mane,Iron Moth,Grass,Booster Energy,Tauros-Paldea-Aqua,Grass,Mirror Herb,Garganacl,Grass,Leftovers,Farigiraf,Fairy,Safety Goggles,Kingambit,Fire,Assault Vest,Flutter Mane,Fairy,Life Orb,,,,,,,,,Iron Moth,Tauros-Paldea-Aqua,Garganacl,Farigiraf,Kingambit,Flutter Mane,,"Tauros-Paldea-Aqua, Farigiraf, Kingambit, Garganacl, Iron Moth, Flutter Mane",,César Reyes,333,Ruddy Salmon,145,Lextin Saenthavy,291,Hunter Braum,109,Kolten Pope,66,Logan Phillips,24,Ian Packer,72,Joshua Lorcy,26,Matthew Pencille,33,Kristian Mosquito,62
75,#75,,7 - 3,7,3,CAN,,Kelvin Koon,Kelvin Koon,,,babiri.gg,NotCelsiusDeg,NotCelsiusDeg,https://twitter.com/NotCelsiusDeg,,,Covert Cloak,,,Safety Goggles,,,Choice Specs,,,Sitrus Berry,,,Assault Vest,,,Life Orb,40,-,View,https://pokepast.es/5d343eea4095004a,,,,,,,Iron Hands,Amoonguss,Azumarill,Hatterene,Gastrodon,Armarouge,,Assault Vest,Sitrus Berry,Safety Goggles,Life Orb,Choice Specs,Covert Cloak,,Grass,Dark,Fire,Steel,Grass,Grass,Grass,Dark,Fire,Steel,Grass,Grass,4 Iron Hands,2 Amoonguss,1 Azumarill,8 Hatterene,1 Gastrodon,0 Armarouge,0 Armarouge,1 Azumarill,1 Gastrodon,2 Amoonguss,4 Iron Hands,8 Hatterene,Armarouge,Grass,Covert Cloak,Azumarill,Fire,Safety Goggles,Gastrodon,Grass,Choice Specs,Amoonguss,Dark,Sitrus Berry,Iron Hands,Grass,Assault Vest,Hatterene,Steel,Life Orb,,,,,,,,,Armarouge,Azumarill,Gastrodon,Amoonguss,Iron Hands,Hatterene,,"Iron Hands, Amoonguss, Azumarill, Hatterene, Gastrodon, Armarouge",,Jose Flores,210,Jeffrey Shine,57,Daniel Ocasio,250,Brett Hanewich,97,Matthew Busch,113,Daniel Nuñez,19,Adam Baltrusaitis,28,Sohaib Mufti,7,Zackary Thornberg,4,Patrick Connors,35
76,#76,,7 - 3,7,3,USA,,Michael Zhang,Michael Zhang,,,Formora,No Twitter,No Twitter,https://twitter.com/No Twitter,,,Sitrus Berry,,,Focus Sash,,,Rocky Helmet,,,Assault Vest,,,Covert Cloak,,,Life Orb,40,-,View,https://pokepast.es/6c02524ff6af4517,,,,,American (from SoCal). No Twitter.,,Amoonguss,Iron Bundle,Arcanine,Gholdengo,Hydreigon,Iron Hands,,Rocky Helmet,Focus Sash,Sitrus Berry,Covert Cloak,Life Orb,Assault Vest,,Water,Ice,Water,Steel,Fire,Grass,Water,Ice,Water,Steel,Fire,Grass,2 Amoonguss,1 Iron Bundle,0 Arcanine,7 Gholdengo,9 Hydreigon,4 Iron Hands,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Iron Hands,7 Gholdengo,9 Hydreigon,Arcanine,Water,Sitrus Berry,Iron Bundle,Ice,Focus Sash,Amoonguss,Water,Rocky Helmet,Iron Hands,Grass,Assault Vest,Gholdengo,Steel,Covert Cloak,Hydreigon,Fire,Life Orb,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Iron Hands,Gholdengo,Hydreigon,,"Amoonguss, Iron Bundle, Arcanine, Gholdengo, Hydreigon, Iron Hands",,Edwin Torres,177,Jesus Ocasio,74,Joshua Lorcy,61,VIP 6 - Alex Rubinoff,193,Justin Burns,92,Chris Wiseman,177,Stephanie Scruggs,97,Juan Manuel Santizo,80,Luhou Shen,40,Gerald Hoard,74
77,#77,,7 - 3,7,3,MEX,,Christian Ramírez,Christian Ramirez,,,Ewokpadawan,Ewok_padawan,Ewok_padawan,https://twitter.com/Ewok_padawan,,,Weakness Policy,,,Leftovers,,,Booster Energy,,,Choice Scarf,,,Assault Vest,,,Focus Sash,40,-,View,https://pokepast.es/ca3640eb7cb29e94,,,,,,,Abomasnow,Tatsugiri,Armarouge,Dondozo,Indeedee-F,Iron Bundle,,Assault Vest,Choice Scarf,Weakness Policy,Leftovers,Focus Sash,Booster Energy,,Water,Water,Grass,Steel,Ghost,Grass,Water,Water,Grass,Steel,Ghost,Grass,2 Abomasnow,1 Tatsugiri,0 Armarouge,1 Dondozo,5 Indeedee-F,1 Iron Bundle,0 Armarouge,1 Dondozo,1 Iron Bundle,1 Tatsugiri,2 Abomasnow,5 Indeedee-F,Armarouge,Grass,Weakness Policy,Dondozo,Steel,Leftovers,Iron Bundle,Grass,Booster Energy,Tatsugiri,Water,Choice Scarf,Abomasnow,Water,Assault Vest,Indeedee-F,Ghost,Focus Sash,,,,,,,,,Armarouge,Dondozo,Iron Bundle,Tatsugiri,Abomasnow,Indeedee-F,,"Abomasnow, Tatsugiri, Armarouge, Dondozo, Indeedee-F (Indeedee-Female), Iron Bundle",,Rajan Bal,69,jayvon allen,222,Montana Mott,112,Ezequiel Cordero,168,Logan Martinez,179,Marquis Blue,188,Matthew Suarez,92,Giovanni Cischke,47,Arath Alejandro Vera Almaraz,18,Kevin Salvetto,17
78,#78,,7 - 3,7,3,USA,,Calvin Nisson,Calvin Nisson,,,Gazoney,Gazoney,Gazoney,https://twitter.com/Gazoney,,,Safety Goggles,,,Focus Sash,,,Covert Cloak,,,Leftovers,,,Sitrus Berry,,,Booster Energy,40,-,View,https://pokepast.es/ea77f4c225e84c6f,,,,,,,Amoonguss,Garganacl,Roaring Moon,Iron Hands,Iron Bundle,Arcanine,,Covert Cloak,Leftovers,Booster Energy,Sitrus Berry,Focus Sash,Safety Goggles,,Dark,Ghost,Flying,Grass,Water,Dark,Dark,Ghost,Flying,Grass,Water,Dark,2 Amoonguss,4 Garganacl,9 Roaring Moon,4 Iron Hands,1 Iron Bundle,0 Arcanine,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Garganacl,4 Iron Hands,9 Roaring Moon,Arcanine,Dark,Safety Goggles,Iron Bundle,Water,Focus Sash,Amoonguss,Dark,Covert Cloak,Garganacl,Ghost,Leftovers,Iron Hands,Grass,Sitrus Berry,Roaring Moon,Flying,Booster Energy,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Garganacl,Iron Hands,Roaring Moon,,"Amoonguss, Garganacl, Roaring Moon, Iron Hands, Iron Bundle, Arcanine",,Raul Valverde,150,Jered Hunn,56,Erikzzon Latoja,138,Selina OptHof,82,George Bissell,115,Austin McKay,32,Owen Wright,37,Sergio Mojica,18,Aditya Subramanian,14,Arbin Tumaneng,32
79,#79,,7 - 3,7,3,USA,,Adrian Heredia,Adrian Heredia,,,BCZero,Zero0484,Zero0484,https://twitter.com/Zero0484,,,Life Orb,,,Lum Berry,,,Choice Specs,,,Sitrus Berry,,,Psychic Seed,,,Safety Goggles,40,-,View,https://pokepast.es/f160145c8742ba17,,,,,,,Maushold,Tatsugiri-Stretchy,Iron Hands,Indeedee-F,Dondozo,Armarouge,,Safety Goggles,Choice Specs,Sitrus Berry,Psychic Seed,Lum Berry,Life Orb,,Ghost,Steel,Grass,Fairy,Steel,Grass,Ghost,Steel,Grass,Fairy,Steel,Grass,5 Maushold,1 Tatsugiri-Stretchy,4 Iron Hands,5 Indeedee-F,1 Dondozo,0 Armarouge,0 Armarouge,1 Dondozo,1 Tatsugiri-Stretchy,4 Iron Hands,5 Indeedee-F,5 Maushold,Armarouge,Grass,Life Orb,Dondozo,Steel,Lum Berry,Tatsugiri-Stretchy,Steel,Choice Specs,Iron Hands,Grass,Sitrus Berry,Indeedee-F,Fairy,Psychic Seed,Maushold,Ghost,Safety Goggles,,,,,,,,,Armarouge,Dondozo,Tatsugiri-Stretchy,Iron Hands,Indeedee-F,Maushold,,"Maushold, Tatsugiri-Stretchy, Iron Hands, Indeedee-F (Indeedee-Female), Dondozo, Armarouge",,Mathew Courtney,89,francisco bottero,16,David Early,79,Lucien Lamoureaux,45,Ryan Almeida,23,Jakob Swilley,17,Don Czech,49,Trevor Winsler,78,Tom Hull,39,Dylan Cragle,49
80,#80,,7 - 3,7,3,USA,,Mike D'Angelo,Michael D'Angelo,,,Mike,Mike_DAngeIo,Mike_DAngeIo,https://twitter.com/Mike_DAngeIo,,,Safety Goggles,,,Booster Energy,,,Sitrus Berry,,,Lum Berry,,,Assault Vest,,,Focus Sash,40,-,View,https://pokepast.es/8a54bf147e9e20e7,,,,,,,Kingambit,Iron Hands,Amoonguss,Iron Bundle,Flutter Mane,Arcanine,,Assault Vest,Lum Berry,Sitrus Berry,Booster Energy,Focus Sash,Safety Goggles,,Dark,Ground,Dark,Ghost,Fairy,Dark,Dark,Ground,Dark,Ghost,Fairy,Dark,7 Kingambit,4 Iron Hands,2 Amoonguss,1 Iron Bundle,8 Flutter Mane,0 Arcanine,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Iron Hands,7 Kingambit,8 Flutter Mane,Arcanine,Dark,Safety Goggles,Iron Bundle,Ghost,Booster Energy,Amoonguss,Dark,Sitrus Berry,Iron Hands,Ground,Lum Berry,Kingambit,Dark,Assault Vest,Flutter Mane,Fairy,Focus Sash,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Iron Hands,Kingambit,Flutter Mane,,"Kingambit, Iron Hands, Amoonguss, Iron Bundle, Flutter Mane, Arcanine",,Bobby McGetrick,140,Foster Hughes,179,Nick Willems,122,Mason Sheppard,57,Zain Khalid,120,Nate Engstrom,67,Zachary Jorge,45,Jeudy Azzarelli,32,Wolfe Glick,19,Riley Factura,93
